County,Population,Land,Water
Androscoggin,107702,467.9274,29.19345
Aroostook,71870,6671.33,156.2378
Cumberland,281674,835.2407,382.2218
Franklin,30768,1696.609,46.87006
Hancock,54418,1586.893,758.0425
Kennebec,122151,867.524,83.65047
Knox,39736,365.1335,778.8123
Lincoln,34457,455.8182,243.785
Oxford,57833,2076.84,98.87564
Penobscot,153923,3397.362,159.7191
Piscataquis,17535,3960.856,417.11
Sagadahoc,35293,253.6949,116.3449
Somerset,52228,3924.403,169.1276
Waldo,38786,729.9183,122.8383
Washington,32856,2562.66,694.9916
York,197131,990.7131,279.0009
